勘定科目属性,勘定科目コード,勘定科目名,ｶﾅ索引,勘定科目正式名,貸借区分,借方税区分コード,借方税区分名,貸方税区分コード,貸方税区分名,関連科目コード,関連科目名,表示区分,消費税自動計算,消費税端数処理,固定費変動費区分,固定費割合,簡易課税業種,取引先入力,内訳書の設定
22100080,561,期末商品棚卸高,ｷﾏﾂｼｮ,期末商品棚卸高,2,0,対象外,0,対象外,,,1,9,9,2,0,1,,
22200010,571,期首製品棚卸高,ｷｼｭｾｲ,期首製品棚卸高,1,0,対象外,0,対象外,591,期末製品棚卸高,1,9,9,2,0,1,,
22200040,591,期末製品棚卸高,ｷﾏﾂｾｲ,期末製品棚卸高,2,0,対象外,0,対象外,,,1,9,9,2,0,1,,
27001010,711,役員報酬,ﾔｸｲﾝﾎ,役員報酬,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27001020,712,給与手当,ｷｭｳﾖﾃ,給与手当,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27001030,713,賞与,ｼｮｳﾖ,賞与,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27001070,721,雑給,ｻﾞｯｷｭ,雑給,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27001040,722,退職金,ﾀｲｼｮｸ,退職金,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27001110,723,法定福利費,ﾎｳﾃｲﾌ,法定福利費,1,P0,非仕入,P0,非仕入,,,1,9,9,1,0,1,,
27001120,724,福利厚生費,ﾌｸﾘｺｳ,福利厚生費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27001090,725,退職給付引繰入,ﾀｲｼｮｸ,退職給付引当金繰入,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27002090,726,旅費交通費,ﾘｮﾋｺｳ,旅費交通費,1,Q5,仕入10%,Q5,仕入10%,,,1,2,0,2,0,1,,
27002170,727,通信費,ﾂｳｼﾝﾋ,通信費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27000050,728,販売手数料,ﾊﾝﾊﾞｲ,販売手数料,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002210,729,車両費,ｼｬﾘｮｳ,車両費,1,Q5,仕入10%,Q5,仕入10%,,,1,2,9,1,0,1,,
27000040,731,運賃,ｳﾝﾁﾝ,運賃,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27000020,732,広告宣伝費,ｺｳｺｸｾ,広告宣伝費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002140,733,交際接待費,ｺｳｻｲｾ,交際接待費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002150,734,会議費,ｶｲｷﾞﾋ,会議費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002220,735,燃料費,ﾈﾝﾘｮｳ,燃料費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
27002080,736,水道光熱費,ｽｲﾄﾞｳ,水道光熱費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002070,737,消耗品費,ｼｮｳﾓｳ,消耗品費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002130,738,租税公課,ｿｾﾞｲｺ,租税公課,1,0,対象外,0,対象外,,,1,9,9,2,0,1,,
27002230,739,新聞図書費,ｼﾝﾌﾞﾝ,新聞図書費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
27002100,741,支払手数料,ｼﾊﾗｲﾃ,支払手数料,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002180,742,諸会費,ｼｮｶｲﾋ,諸会費,1,P0,非仕入,0,対象外,,,1,9,9,2,0,1,,
27002200,743,寄付金,ｷﾌｷﾝ,寄付金,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27002040,744,リース料,ﾘｰｽﾘｮ,リース料,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
27002010,745,外注費,ｶﾞｲﾁｭ,外注費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002110,746,支払報酬,ｼﾊﾗｲﾎ,支払報酬,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002030,747,地代家賃,ﾁﾀﾞｲﾔ,地代家賃,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
27002020,751,賃借料,ﾁﾝｼｬｸ,賃借料,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002160,752,保険料,ﾎｹﾝﾘｮ,保険料,1,P0,非仕入,P0,非仕入,,,1,9,9,1,0,1,,
27002050,753,修繕維持費,ｼｭｳｾﾞ,修繕維持費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002060,754,事務用消耗品費,ｼﾞﾑﾖｳ,事務用消耗品費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,2,0,1,,
27002330,755,他一般管理費,ｿﾉﾀﾉｲ,その他の一般管理費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
27002330,756,研修費,ｹﾝｼｭｳ,研修費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,0,1,0,1,,
27002270,763,減価償却費,ｹﾞﾝｶｼ,減価償却費,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27002250,764,貸倒引当金繰入,ｶｼﾀﾞｵ,貸倒引当金繰入,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27001080,765,賞与引当金繰入,ｼｮｳﾖﾋ,賞与引当金繰入,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
27002260,781,貸倒損失,ｶｼﾀﾞｵ,貸倒損失,1,D5,貸倒10%,D5,貸倒10%,,,1,9,9,1,0,1,,
27002340,791,雑費,ｻﾞｯﾋﾟ,雑費,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
27002300,792,保管料,ﾎｶﾝﾘｮ,保管料,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
31100010,811,受取利息,ｳｹﾄﾘﾘ,受取利息,2,A0,非売上,A0,非売上,,,1,9,9,1,0,1,,
31100020,812,受取配当金,ｳｹﾄﾘﾊ,受取配当金,2,0,対象外,0,対象外,,,1,9,9,1,0,1,,
31100140,813,他営業外収益,ｿﾉﾀﾉｴ,その他の営業外収益,2,B5,売上10%,B5,売上10%,,,1,9,9,1,0,1,,
31100040,815,有価証券売却益,ﾕｳｶｼｮ,有価証券売却益,2,X0,有証売上,X0,有証売上,,,1,9,9,1,0,1,,
31100220,816,貸倒引当金戻入,ｶｼﾀﾞｵ,貸倒引当金戻入,2,0,対象外,0,対象外,,,1,9,9,0,0,1,,
31100030,818,仕入割引,ｼｲﾚﾜﾘ,仕入割引,2,R5,仕返10%,R5,仕返10%,,,1,9,9,1,0,1,,
31100150,819,雑収入,ｻﾞｯｼｭ,雑収入,2,B5,売上10%,B5,売上10%,,,1,9,9,1,0,1,,
31200010,821,支払利息,ｼﾊﾗｲﾘ,支払利息,1,P0,非仕入,P0,非仕入,,,1,9,9,1,0,1,,
31200140,822,他営業外費用,ｿﾉﾀﾉｴ,その他の営業外費用,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
31200040,823,有価証券売却損,ﾕｳｶｼｮ,有価証券売却損,1,X0,有証売上,X0,有証売上,,,1,9,9,1,0,1,,
31200050,824,手形売却損,ﾃｶﾞﾀﾊ,手形売却損,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
31200055,825,電子債権売却損,ﾃﾞﾝｼｷ,電子記録債権売却損,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
31200060,829,貸倒損失,ｶｼﾀﾞｵ,貸倒損失,1,0,対象外,0,対象外,,,1,9,9,1,0,1,,
31200030,859,売上割引,ｳﾘｱｹﾞ,売上割引,1,C5,売返10%,C5,売返10%,,,1,9,9,1,0,1,,
31200150,899,雑損失,ｻﾞｯｿﾝ,雑損失,1,Q5,仕入10%,Q5,仕入10%,,,1,9,9,1,0,1,,
32100020,911,固定資産売却益,ｺﾃｲｼｻ,固定資産売却益,2,0,対象外,B5,売上10%,,,1,9,9,0,0,1,,
32100110,912,他特別利益,ｿﾉﾀﾉﾄ,その他の特別利益,2,0,対象外,0,対象外,,,1,9,9,0,0,1,,
32100050,914,貸倒引当金戻入,ｶｼﾀﾞｵ,貸倒引当金戻入,2,0,対象外,0,対象外,,,1,9,9,0,0,1,,
32100010,915,前期損益修正益,ｾﾞﾝｷｿ,前期損益修正益,2,0,対象外,0,対象外,,,1,9,9,0,0,1,,
32100040,918,投資有価売却益,ﾄｳｼﾕｳ,投資有価証券売却益,2,X0,有証売上,X0,有証売上,,,1,9,9,0,0,1,,
32100090,919,償却債権取立益,ｼｮｳｷｬ,償却債権取立益,2,E5,貸倒回収10%,E5,貸倒回収10%,,,1,9,9,0,0,1,,
32200020,921,固定資産売却損,ｺﾃｲｼｻ,固定資産売却損,1,0,対象外,B5,売上10%,,,1,9,9,0,0,1,,
32200200,922,他特別損失,ｿﾉﾀﾉﾄ,その他の特別損失,1,0,対象外,0,対象外,,,1,9,9,0,0,1,,
32200030,924,固定資産除却損,ｺﾃｲｼｻ,固定資産除却損,1,0,対象外,B5,売上10%,,,1,9,9,0,0,1,,
32200010,925,前期損益修正損,ｾﾞﾝｷｿ,前期損益修正損,1,0,対象外,0,対象外,,,1,9,9,0,0,1,,
32200050,927,投資有価売却損,ﾄｳｼﾕｳ,投資有価証券売却損,1,X0,有証売上,X0,有証売上,,,1,9,9,0,0,1,,
32200115,928,減損損失,ｹﾞﾝｿﾝ,減損損失,1,0,対象外,0,対象外,,,1,9,9,0,0,1,,
33100010,931,法人税等,ﾎｳｼﾞﾝ,法人税等,1,0,対象外,0,対象外,,,1,9,9,0,0,1,,
33100040,932,法人税等調整額,ﾎｳｼﾞﾝ,法人税等調整額,1,0,対象外,0,対象外,,,1,9,9,0,0,1,,
19900010,999,諸口,ｼｮｸﾁ,諸口,1,0,対象外,0,対象外,,,1,0,9,0,0,1,,
